ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1547976901,2025-06-03T23:31:18.141000,2025-06-03T23:53:30.840000,sell,0.01,0.01,BTCUSD,105550.59,105412.11,105412.11,,-0.16,0,1.39,,,sl
1547957724,2025-06-03T22:47:54.452000,2025-06-03T23:12:10.282000,sell,0.01,0.01,BTCUSD,105923.24,105762.32,105762.32,,-0.16,0,1.61,,,sl
1547957113,2025-06-03T22:45:09.893000,2025-06-03T22:46:23.316000,buy,0.01,0.01,BTCUSD,105925.24,105887.17,105887.17,,-0.16,0,-0.38,,,sl
1547944379,2025-06-03T22:05:39.354000,2025-06-03T22:30:37.154000,buy,0.01,0.01,BTCUSD,105570.36,105807.79,105807.79,,-0.16,0,2.38,,,sl
1547941400,2025-06-03T22:00:02.424000,2025-06-03T22:05:18.999000,sell,0.01,0.01,BTCUSD,105355.17,105557.97,105557.97,,-0.16,0,-2.03,,,sl
1547920452,2025-06-03T20:12:00.535000,2025-06-03T20:12:35.222000,buy,0.01,0.01,BTCUSD,106151.28,106105.88,106105.88,,-0.16,0,-0.45,,,sl
1547918771,2025-06-03T20:06:12.377000,2025-06-03T20:11:20.972000,sell,0.01,0.01,BTCUSD,106124.74,106135,106135,,-0.16,0,-0.1,,,sl
1547879238,2025-06-03T18:56:55.136000,2025-06-03T19:09:41.789000,buy,0.01,0.01,BTCUSD,106011.13,106082.62,106082.62,,-0.16,0,0.72,,,sl
1547877006,2025-06-03T18:52:30.041000,2025-06-03T18:55:30.678000,sell,0.01,0.01,BTCUSD,105976.8,105998.74,105998.74,,-0.16,0,-0.22,,,sl
1547845926,2025-06-03T18:06:45.327000,2025-06-03T18:06:56.103000,sell,0.01,0.01,BTCUSD,105787.25,105811.83,105811.83,,-0.16,0,-0.25,,,sl
1547836708,2025-06-03T17:56:04.390000,2025-06-03T17:56:39.081000,buy,0.01,0.01,BTCUSD,105986.76,105933.38,105933.38,,-0.16,0,-0.54,,,sl
